 MetaGeneAnnotator Prediction Results

# Chromosome dna:chromosome chromosome:ASM59796v1:Chromosome:1:2764699:1 REF
# gc = 0.329187, rbs = 0.949264
# self: b
gene_1	1	150	-	0	10	9.06019	b	159	164	-3.36815
gene_2	394	552	-	0	11	16.559	p	560	565	13.5965
gene_3	993	1190	-	0	11	43.0864	p	1201	1206	14.6599
gene_4	1363	3711	-	0	11	350.669	s	3716	3721	8.05824
gene_5	3721	5433	-	0	11	251.909	s	5441	5446	9.59356
gene_6	5506	5949	-	0	11	16.2722	b	5963	5968	3.17168
gene_7	6028	6294	-	0	11	41.7617	p	6304	6309	8.79358
gene_8	6664	7602	+	0	11	98.2694	b	6648	6653	8.32432
gene_9	8034	10436	-	0	11	442.062	s	10444	10449	15.8472
gene_10	10436	11494	-	0	11	209.712	s	11505	11510	11.6671
gene_11	11874	12035	-	0	11	33.6796	s	12045	12050	5.15008
gene_12	12096	12227	-	0	11	14.0213	s	12236	12241	3.10974
gene_13	12247	12396	-	0	11	21.2136	s	12409	12414	-3.11347
gene_14	13004	13327	-	0	11	57.1061	s	13334	13339	7.71814
gene_15	13346	14080	-	0	11	85.9456	b	14087	14092	7.71814
gene_16	14142	14345	-	0	11	4.35229	s	14351	14356	-1.93773
gene_17	14338	14502	-	0	11	11.5193	s	-	-	-
gene_18	14504	15109	-	0	11	49.4333	s	15115	15120	7.95709
gene_19	15122	16000	-	0	11	124.254	s	16008	16013	12.4709
gene_20	15997	17073	-	0	11	148.967	s	17080	17085	-3.9116
gene_21	17073	17756	-	0	11	103.511	p	17765	17770	16.5919
gene_22	17965	19017	+	0	11	159.437	s	17951	17956	16.5919
gene_23	19220	21157	+	0	11	308.435	s	19201	19206	8.44103
gene_24	21311	21484	-	0	11	27.5394	s	21492	21497	16.4895
gene_25	21564	22121	-	0	11	102.121	s	22129	22134	15.8472
gene_26	22248	23273	+	0	11	91.6075	s	22231	22236	8.11389
gene_27	23450	23932	-	0	11	70.1339	s	23939	23944	10.0699
gene_28	23934	24476	-	0	11	92.2121	s	24485	24490	7.15312
gene_29	24546	24935	+	0	11	49.3084	s	24528	24533	12.0066
gene_30	24938	25192	-	0	11	33.5306	p	25203	25208	9.20725
gene_31	25431	26357	+	0	11	131.985	s	25417	25422	16.5919
gene_32	26420	26854	-	0	11	55.522	s	26860	26865	13.6239
gene_33	26870	27907	-	0	11	148.705	s	27915	27920	10.7778
gene_34	28234	28695	-	0	11	56.9743	s	28702	28707	6.60365
